INDEX PR_0 PR_1 PR_2
chr11_74556122_74556369_MACS_peak_3098 0.7143 0.1071 0.1786
chr11_74572731_74573044_MACS_peak_5743 0.8214 0.0893 0.0893
chr11_74590018_74590227_MACS_peak_5744 0.9286 0.0357 0.0357
chr11_74619272_74619492_MACS_peak_3099 0.9643 0.0000 0.0357
chr11_74649165_74649577_MACS_peak_3102 0.6786 0.0714 0.2500
chr11_74649213_74649816_MACS_peak_5747 0.6250 0.1250 0.2500
chr11_74830295_74830803_MACS_peak_3105 0.4464 0.0714 0.4821
chr11_74831875_74832505_MACS_peak_5755 0.3750 0.0893 0.5357
chr11_74832252_74832523_MACS_peak_3107 0.5000 0.2143 0.2857
chr11_74837585_74838052_MACS_peak_3108 0.6429 0.1071 0.2500
chr11_74848077_74848299_MACS_peak_3110 0.7857 0.0357 0.1786
chr11_74848110_74848542_MACS_peak_5757 0.7321 0.0714 0.1964
chr11_74875405_74875721_MACS_peak_5758 0.8929 0.0179 0.0893
chr11_74896314_74896819_MACS_peak_5759 0.6964 0.0893 0.2143
chr11_74897539_74897780_MACS_peak_3112 0.8393 0.0536 0.1071
chr11_74897851_74898051_MACS_peak_5761 0.8750 0.0357 0.0893
chr11_74981514_74981753_MACS_peak_3114 0.9821 0.0000 0.0179
chr11_75033070_75033272_MACS_peak_3116 1.0000 0.0000 0.0000
chr11_75137187_75137721_MACS_peak_5763 0.8036 0.0357 0.1607
chr11_75153345_75153580_MACS_peak_5764 0.9107 0.0179 0.0714
chr11_75178671_75179112_MACS_peak_5766 0.7857 0.0357 0.1786
chr11_75178699_75179110_MACS_peak_3117 0.7857 0.0357 0.1786
chr11_75189918_75190194_MACS_peak_5767 0.8214 0.0536 0.1250
chr11_75190433_75190712_MACS_peak_3118 0.8214 0.1071 0.0714
chr11_75209465_75209665_MACS_peak_5768 0.9286 0.0179 0.0536
chr11_75213374_75213609_MACS_peak_3121 1.0000 0.0000 0.0000
chr11_75214061_75214261_MACS_peak_3122 1.0000 0.0000 0.0000
chr11_75265021_75265221_MACS_peak_5770 0.9643 0.0179 0.0179
chr11_75348191_75348676_MACS_peak_5772 0.6250 0.1250 0.2500
chr11_75348216_75348678_MACS_peak_3125 0.6250 0.1250 0.2500
chr11_75454360_75454844_MACS_peak_5773 0.7500 0.0714 0.1786
chr11_75454622_75454941_MACS_peak_3127 0.7679 0.1250 0.1071
chr11_75461122_75461799_MACS_peak_5774 0.5000 0.1250 0.3750
chr11_75461221_75461721_MACS_peak_3128 0.5000 0.1429 0.3571
chr11_75486480_75487089_MACS_peak_5775 0.6250 0.0893 0.2857
chr11_75486659_75487012_MACS_peak_3129 0.6786 0.0536 0.2679
chr11_75510245_75510953_MACS_peak_3130 0.9286 0.0179 0.0536
chr11_75531348_75531869_MACS_peak_5776 0.5714 0.1964 0.2321
chr11_75531595_75531814_MACS_peak_3131 0.6964 0.1429 0.1607
chr11_75541126_75541531_MACS_peak_5777 0.7857 0.0893 0.1250
chr11_75561074_75561334_MACS_peak_3132 0.9821 0.0179 0.0000
chr11_75566198_75566398_MACS_peak_3133 1.0000 0.0000 0.0000
chr11_75571454_75571708_MACS_peak_5780 0.5536 0.2321 0.2143
chr11_75572494_75572765_MACS_peak_3134 0.9821 0.0179 0.0000
chr11_75587723_75588467_MACS_peak_5781 0.6429 0.1071 0.2500
chr11_75587932_75588697_MACS_peak_3135 0.6250 0.1429 0.2321
chr11_75603578_75603779_MACS_peak_5782 0.9464 0.0536 0.0000
chr11_75630574_75631137_MACS_peak_5783 0.5893 0.0714 0.3393
chr11_75630604_75631142_MACS_peak_3136 0.5893 0.0714 0.3393
chr11_75651819_75652045_MACS_peak_5785 0.7679 0.1250 0.1071
chr11_75651981_75652181_MACS_peak_3138 0.8036 0.1607 0.0357
chr11_75656802_75657002_MACS_peak_3139 0.9286 0.0714 0.0000
chr11_75678824_75679038_MACS_peak_3140 0.8929 0.0714 0.0357
chr11_75679064_75679577_MACS_peak_5787 0.6250 0.1250 0.2500
chr11_75679110_75679568_MACS_peak_3141 0.6250 0.1250 0.2500
chr11_75733375_75733597_MACS_peak_3143 0.9107 0.0893 0.0000
chr11_75936332_75936532_MACS_peak_5791 0.9286 0.0357 0.0357
chr11_75966922_75967183_MACS_peak_5792 0.9286 0.0357 0.0357
chr11_76027731_76027948_MACS_peak_5793 0.8214 0.1250 0.0536
chr11_76179310_76179609_MACS_peak_5796 0.8750 0.0179 0.1071
chr11_76179358_76179928_MACS_peak_3148 0.8036 0.0357 0.1607
chr11_76217364_76217828_MACS_peak_5798 0.6071 0.0000 0.3929
chr11_76217443_76217830_MACS_peak_3149 0.6071 0.0357 0.3571
chr11_76243382_76243690_MACS_peak_3150 0.8214 0.0714 0.1071
chr11_76243466_76243921_MACS_peak_5799 0.7857 0.0357 0.1786
chr11_76261109_76261704_MACS_peak_5800 0.8036 0.0357 0.1607
chr11_76406727_76407329_MACS_peak_5804 0.6607 0.0357 0.3036
chr11_76406733_76407080_MACS_peak_3152 0.6964 0.1071 0.1964
chr11_76429064_76429421_MACS_peak_3153 0.9643 0.0000 0.0357
chr11_76494673_76494920_MACS_peak_5806 0.8393 0.0714 0.0893
chr11_76504209_76504409_MACS_peak_3155 1.0000 0.0000 0.0000
chr11_76510409_76510680_MACS_peak_5807 0.9286 0.0536 0.0179
chr11_76519858_76520058_MACS_peak_5808 0.9643 0.0179 0.0179
chr11_76541082_76541341_MACS_peak_5809 0.8750 0.0179 0.1071
chr11_76587296_76587750_MACS_peak_5810 0.6250 0.1250 0.2500
chr11_76593477_76593994_MACS_peak_5812 0.7500 0.0536 0.1964
chr11_76603748_76603948_MACS_peak_5813 0.9821 0.0000 0.0179
chr11_76622221_76622421_MACS_peak_3156 0.8571 0.0536 0.0893
chr11_76622275_76622523_MACS_peak_5814 0.8571 0.0357 0.1071
chr11_76623515_76623799_MACS_peak_5815 0.8571 0.0179 0.1250
chr11_76655052_76655301_MACS_peak_5817 0.9286 0.0357 0.0357
chr11_76705935_76706135_MACS_peak_5820 0.9643 0.0179 0.0179
chr11_76763146_76763673_MACS_peak_5821 0.8214 0.0714 0.1071
chr11_76763353_76763849_MACS_peak_3158 0.8750 0.0893 0.0357
chr11_76846257_76846492_MACS_peak_5823 0.8393 0.1250 0.0357
chr11_76847011_76847239_MACS_peak_3159 0.8036 0.1071 0.0893
chr11_76944613_76944813_MACS_peak_5825 0.9643 0.0179 0.0179
chr11_76945474_76945823_MACS_peak_3160 0.8929 0.0357 0.0714
chr11_76992959_76993205_MACS_peak_5826 0.8571 0.0536 0.0893
chr11_77019428_77020097_MACS_peak_5827 0.7500 0.0536 0.1964
chr11_77021446_77021748_MACS_peak_5828 0.9286 0.0179 0.0536
chr11_77028731_77028931_MACS_peak_5829 0.8571 0.0893 0.0536
chr11_77078234_77078715_MACS_peak_5831 0.7321 0.0000 0.2679
chr11_77078416_77078633_MACS_peak_3161 0.7500 0.0714 0.1786
chr11_77121128_77121333_MACS_peak_5832 0.9821 0.0179 0.0000
chr11_77214842_77215099_MACS_peak_3162 0.8393 0.0357 0.1250
chr11_77214954_77215154_MACS_peak_5834 0.8571 0.0179 0.1250
chr11_77276079_77276338_MACS_peak_5838 0.9107 0.0357 0.0536
chr11_77347976_77348427_MACS_peak_5839 0.6964 0.1250 0.1786
chr11_77348188_77348480_MACS_peak_3164 0.7321 0.0893 0.1786
chr11_77349122_77349398_MACS_peak_3165 0.9464 0.0179 0.0357
chr11_77386356_77386710_MACS_peak_5840 0.7857 0.0357 0.1786
chr11_77386384_77386623_MACS_peak_3166 0.7857 0.0714 0.1429
chr11_77409720_77410210_MACS_peak_5841 0.8036 0.0357 0.1607
chr11_77446766_77447042_MACS_peak_3167 0.9286 0.0179 0.0536
chr11_77467217_77467417_MACS_peak_3168 0.8750 0.0714 0.0536
chr11_77467217_77467417_MACS_peak_5842 0.8750 0.0714 0.0536
chr11_77508113_77508385_MACS_peak_5844 0.8929 0.0179 0.0893
chr11_77508171_77508449_MACS_peak_3170 0.8929 0.0536 0.0536
chr11_77514940_77515470_MACS_peak_5845 0.5000 0.1071 0.3929
chr11_77515339_77515539_MACS_peak_3172 0.7679 0.1607 0.0714
chr11_77519061_77519560_MACS_peak_3173 0.6786 0.0714 0.2500
chr11_77519210_77519507_MACS_peak_5846 0.6964 0.1071 0.1964
chr11_77607360_77607560_MACS_peak_3174 0.8393 0.1071 0.0536
chr11_77607360_77607566_MACS_peak_5847 0.8393 0.1071 0.0536
chr11_77772214_77772485_MACS_peak_3181 0.9643 0.0357 0.0000
chr11_77784023_77784223_MACS_peak_3182 0.9464 0.0357 0.0179
chr11_77792086_77792327_MACS_peak_3183 0.9643 0.0179 0.0179
chr11_77793211_77793599_MACS_peak_3184 0.8214 0.0536 0.1250
chr11_77793278_77793756_MACS_peak_5852 0.7679 0.0357 0.1964
chr11_77801183_77801798_MACS_peak_3185 0.8214 0.0714 0.1071
chr11_77801523_77801733_MACS_peak_5853 0.8929 0.0357 0.0714
chr11_77802593_77802795_MACS_peak_3186 0.9286 0.0000 0.0714
chr11_77802644_77802864_MACS_peak_5854 0.9286 0.0179 0.0536
chr11_77815958_77816158_MACS_peak_5855 0.9464 0.0357 0.0179
chr11_77876665_77876868_MACS_peak_3187 0.9821 0.0179 0.0000
chr11_77926639_77926839_MACS_peak_3189 0.8393 0.1250 0.0357
chr11_77981685_77982186_MACS_peak_3191 0.6429 0.0893 0.2679
chr11_77981731_77982008_MACS_peak_5857 0.6607 0.1429 0.1964
chr11_77982450_77982848_MACS_peak_3192 0.6786 0.1429 0.1786
chr11_77982534_77982830_MACS_peak_5858 0.7143 0.1607 0.1250
chr11_78031994_78032419_MACS_peak_3194 0.6429 0.1250 0.2321
chr11_78037969_78038179_MACS_peak_3195 0.9464 0.0357 0.0179
chr11_78080328_78080745_MACS_peak_5862 0.8214 0.0357 0.1429
chr11_78080373_78080682_MACS_peak_3197 0.8214 0.0357 0.1429
chr11_78094579_78095009_MACS_peak_5863 0.7679 0.1250 0.1071
chr11_78094633_78094833_MACS_peak_3198 0.8214 0.1071 0.0714
chr11_78115215_78115935_MACS_peak_5864 0.4643 0.0893 0.4464
chr11_78115435_78115863_MACS_peak_3199 0.5357 0.2143 0.2500
chr11_78125678_78125990_MACS_peak_5866 0.9286 0.0000 0.0714
chr11_78159152_78159370_MACS_peak_5867 0.8750 0.0357 0.0893
chr11_78165486_78165755_MACS_peak_5868 0.8036 0.0714 0.1250
chr11_78165565_78165811_MACS_peak_3200 0.8036 0.1071 0.0893
chr11_78169202_78169430_MACS_peak_3201 1.0000 0.0000 0.0000
chr11_78176350_78176607_MACS_peak_5869 0.8214 0.0536 0.1250
chr11_78176446_78176646_MACS_peak_3202 0.8750 0.0714 0.0536
chr11_78177596_78178206_MACS_peak_5870 0.5536 0.0357 0.4107
chr11_78178023_78178398_MACS_peak_3203 0.6429 0.1786 0.1786
chr11_78188655_78188855_MACS_peak_5872 0.9107 0.0536 0.0357
chr11_78207492_78207692_MACS_peak_5873 0.9286 0.0536 0.0179
chr11_78213238_78213438_MACS_peak_5874 0.9286 0.0714 0.0000
chr11_78245735_78246315_MACS_peak_5875 0.7857 0.0536 0.1607
chr11_78301330_78301745_MACS_peak_5877 0.6607 0.0000 0.3393
chr11_78301382_78301744_MACS_peak_3209 0.6607 0.0179 0.3214
chr11_78328251_78328645_MACS_peak_3210 0.7321 0.1429 0.1250
chr11_78360075_78360333_MACS_peak_5880 0.9286 0.0000 0.0714
chr11_78360199_78360399_MACS_peak_3212 0.9464 0.0179 0.0357
chr11_78394395_78394606_MACS_peak_5881 0.7679 0.1607 0.0714
chr11_78394397_78394607_MACS_peak_3213 0.7679 0.1607 0.0714
chr11_78420478_78420856_MACS_peak_5882 0.8214 0.0179 0.1607
chr11_78421579_78421846_MACS_peak_5883 0.8750 0.0357 0.0893
chr11_78465947_78466203_MACS_peak_3214 0.9643 0.0179 0.0179
chr11_78490639_78491221_MACS_peak_5884 0.8571 0.0179 0.1250
chr11_78497654_78498104_MACS_peak_3216 0.9107 0.0357 0.0536
chr11_78536043_78536676_MACS_peak_5886 0.5357 0.0893 0.3750
chr11_78536048_78536672_MACS_peak_3218 0.5357 0.0893 0.3750
chr11_78550548_78551041_MACS_peak_3219 0.5714 0.1429 0.2857
chr11_78751516_78751868_MACS_peak_5891 0.9107 0.0000 0.0893
chr11_78751548_78751879_MACS_peak_3221 0.9286 0.0000 0.0714
chr11_78771612_78772366_MACS_peak_5892 0.6964 0.0536 0.2500
chr11_78772062_78772308_MACS_peak_3222 0.7857 0.0893 0.1250
chr11_78826327_78826861_MACS_peak_3223 0.6786 0.0000 0.3214
chr11_78826487_78826731_MACS_peak_5893 0.6964 0.0536 0.2500
chr11_78832976_78833325_MACS_peak_5894 0.7679 0.0536 0.1786
chr11_78856352_78856608_MACS_peak_5895 0.9107 0.0000 0.0893
chr11_78864662_78865000_MACS_peak_5896 0.8571 0.0000 0.1429
chr11_78984778_78985252_MACS_peak_5899 0.6786 0.1071 0.2143
chr11_79002953_79003691_MACS_peak_5900 0.8036 0.0536 0.1429
chr11_79023477_79023742_MACS_peak_3227 0.8750 0.0357 0.0893
chr11_79051153_79051357_MACS_peak_5903 0.8036 0.0714 0.1250
chr11_79057101_79057301_MACS_peak_5904 0.9286 0.0536 0.0179
chr11_79069617_79069820_MACS_peak_5905 0.8750 0.1071 0.0179
chr11_79076298_79076761_MACS_peak_5906 0.7857 0.0357 0.1786
chr11_79076482_79076709_MACS_peak_3229 0.8214 0.0536 0.1250
chr11_79088153_79088580_MACS_peak_5907 0.8036 0.0357 0.1607
chr11_79118945_79119254_MACS_peak_5909 0.8750 0.0000 0.1250
chr11_79146268_79146746_MACS_peak_3230 0.7679 0.0714 0.1607
chr11_79214020_79214392_MACS_peak_5912 0.8036 0.0893 0.1071
chr11_79224647_79224847_MACS_peak_5913 0.8750 0.0536 0.0714
chr11_79254477_79254873_MACS_peak_3232 0.8036 0.0536 0.1429
chr11_79254670_79254870_MACS_peak_5914 0.8214 0.0893 0.0893
chr11_79278542_79279015_MACS_peak_5915 0.8036 0.0179 0.1786
chr11_79286375_79286776_MACS_peak_5916 0.8393 0.0357 0.1250
chr11_79287385_79287801_MACS_peak_5917 0.8214 0.0179 0.1607
chr11_79339279_79339699_MACS_peak_5921 0.8036 0.0000 0.1964
chr11_79340157_79340357_MACS_peak_3234 0.9821 0.0179 0.0000
chr11_79519930_79520130_MACS_peak_5923 0.8393 0.0893 0.0714
chr11_79614959_79615273_MACS_peak_3237 1.0000 0.0000 0.0000
chr11_79640977_79641177_MACS_peak_3238 0.8393 0.0714 0.0893
chr11_79650374_79650587_MACS_peak_5926 0.8393 0.0357 0.1250
chr11_79653088_79653288_MACS_peak_3239 1.0000 0.0000 0.0000
chr11_79660513_79660772_MACS_peak_3240 0.9821 0.0179 0.0000
chr11_79669171_79669371_MACS_peak_5928 0.8929 0.0714 0.0357
chr11_79711483_79711791_MACS_peak_5932 0.9464 0.0000 0.0536
chr11_79790393_79790667_MACS_peak_5933 0.7679 0.1071 0.1250
chr11_79806912_79807143_MACS_peak_3242 0.9821 0.0000 0.0179
chr11_79910441_79910641_MACS_peak_5934 0.9821 0.0000 0.0179
chr11_79962303_79962738_MACS_peak_3243 0.8393 0.0357 0.1250
chr11_79962363_79962733_MACS_peak_5935 0.8393 0.0357 0.1250
chr11_79973706_79973906_MACS_peak_3244 1.0000 0.0000 0.0000
chr11_80080758_80081193_MACS_peak_3247 0.5000 0.1250 0.3750
chr11_80080963_80081489_MACS_peak_5940 0.5179 0.0714 0.4107
chr11_80086995_80087220_MACS_peak_3248 0.8571 0.0536 0.0893
chr11_80141833_80142178_MACS_peak_5942 0.8393 0.0714 0.0893
chr11_80142128_80142328_MACS_peak_3250 0.9643 0.0000 0.0357
chr11_80153900_80154220_MACS_peak_3251 1.0000 0.0000 0.0000
chr11_80183664_80184084_MACS_peak_5943 0.7857 0.0714 0.1429
chr11_8019829_8020029_MACS_peak_4684 0.9821 0.0000 0.0179
chr11_80290212_80290572_MACS_peak_5945 0.8750 0.0179 0.1071
chr11_80323092_80323670_MACS_peak_5947 0.5714 0.0000 0.4286
chr11_80377868_80378271_MACS_peak_5949 0.8214 0.0893 0.0893
chr11_80383153_80383428_MACS_peak_3255 0.8036 0.0536 0.1429
chr11_80383201_80383664_MACS_peak_5951 0.7321 0.0536 0.2143
chr11_80398906_80399167_MACS_peak_5952 0.9464 0.0000 0.0536
chr11_80428418_80428842_MACS_peak_3256 0.6429 0.1071 0.2500
chr11_80428455_80429437_MACS_peak_5953 0.5536 0.1071 0.3393
chr11_80490055_80490255_MACS_peak_3258 0.9821 0.0000 0.0179
chr11_80508614_80509187_MACS_peak_3259 0.9643 0.0357 0.0000
chr11_80670471_80670781_MACS_peak_5956 0.9286 0.0000 0.0714
chr11_80779550_80779776_MACS_peak_3260 0.9643 0.0179 0.0179
chr11_81152518_81152718_MACS_peak_5960 0.9821 0.0179 0.0000
chr11_81579744_81579944_MACS_peak_5961 0.4821 0.2500 0.2679
chr11_81697442_81697642_MACS_peak_5962 0.9821 0.0000 0.0179
chr11_82006871_82007295_MACS_peak_5964 0.8214 0.0536 0.1250
chr11_82072478_82072678_MACS_peak_5965 0.9464 0.0000 0.0536
chr11_82174936_82175184_MACS_peak_3262 0.9643 0.0000 0.0357
chr11_82183433_82183633_MACS_peak_5967 0.8929 0.0357 0.0714
chr11_82203794_82204052_MACS_peak_5968 0.8214 0.0179 0.1607
chr11_82206273_82206473_MACS_peak_5969 0.9464 0.0000 0.0536
chr11_82763844_82764551_MACS_peak_3264 0.7143 0.1071 0.1786
chr11_82811715_82812084_MACS_peak_5977 0.9643 0.0000 0.0357
chr11_82845551_82846088_MACS_peak_5979 0.7500 0.0536 0.1964
chr11_82870510_82870958_MACS_peak_5981 0.7679 0.0357 0.1964
chr11_82870621_82871476_MACS_peak_3266 0.4643 0.1607 0.3750
chr11_82871088_82871468_MACS_peak_5982 0.5179 0.2321 0.2500
chr11_82889708_82890046_MACS_peak_5983 0.7321 0.2143 0.0536
chr11_82908124_82908514_MACS_peak_3268 0.8393 0.0893 0.0714
chr11_82915135_82915336_MACS_peak_3269 0.9286 0.0357 0.0357
chr11_82991104_82991304_MACS_peak_5986 0.9286 0.0714 0.0000
chr11_82991529_82991729_MACS_peak_5987 0.9286 0.0357 0.0357
chr11_83078173_83078432_MACS_peak_3272 0.9643 0.0000 0.0357
chr11_83115352_83115552_MACS_peak_3274 1.0000 0.0000 0.0000
chr11_83116529_83116829_MACS_peak_3275 1.0000 0.0000 0.0000
chr11_83192280_83192480_MACS_peak_3277 0.9286 0.0357 0.0357
chr11_83224206_83224584_MACS_peak_3278 0.8571 0.0536 0.0893
chr11_83263310_83263537_MACS_peak_3279 0.9821 0.0179 0.0000
chr11_83271081_83271420_MACS_peak_3280 0.8929 0.0536 0.0536
chr11_83291357_83291830_MACS_peak_5995 0.7143 0.0536 0.2321
chr11_83291535_83291884_MACS_peak_3283 0.7321 0.0536 0.2143
chr11_83298836_83299252_MACS_peak_5996 0.7679 0.0357 0.1964
chr11_83298843_83299252_MACS_peak_3284 0.7679 0.0357 0.1964
chr11_83421456_83421656_MACS_peak_5998 0.9286 0.0357 0.0357
chr11_83427110_83427357_MACS_peak_5999 0.9107 0.0536 0.0357
chr11_83440261_83440743_MACS_peak_3287 0.6964 0.1786 0.1250
chr11_83440467_83440766_MACS_peak_6001 0.7143 0.1607 0.1250
chr11_83462632_83463225_MACS_peak_6002 0.8214 0.0714 0.1071
chr11_83472490_83473392_MACS_peak_6003 0.5714 0.0357 0.3929
chr11_83472652_83473304_MACS_peak_3288 0.5714 0.0893 0.3393
chr11_83569284_83569571_MACS_peak_6006 0.8929 0.0179 0.0893
chr11_83577164_83577364_MACS_peak_6007 0.9464 0.0000 0.0536
chr11_83639619_83639954_MACS_peak_6008 0.7857 0.0536 0.1607
chr11_83640033_83640495_MACS_peak_6009 0.6786 0.0714 0.2500
chr11_83640168_83640494_MACS_peak_3290 0.7321 0.0357 0.2321
chr11_83649128_83649353_MACS_peak_6010 0.9643 0.0000 0.0357
chr11_83753620_83754107_MACS_peak_6011 0.7679 0.0357 0.1964
chr11_83753653_83753861_MACS_peak_3291 0.8036 0.1250 0.0714
chr11_83941919_83942288_MACS_peak_6014 0.8571 0.0000 0.1429
chr11_83942025_83942369_MACS_peak_3292 0.8571 0.0179 0.1250
chr11_84013253_84013489_MACS_peak_3294 0.9643 0.0179 0.0179
chr11_84068274_84068476_MACS_peak_6017 0.9286 0.0357 0.0357
chr11_84205876_84206076_MACS_peak_3298 1.0000 0.0000 0.0000
chr11_8424338_8424588_MACS_peak_4686 0.8929 0.0536 0.0536
chr11_84292655_84292920_MACS_peak_6020 0.8929 0.0000 0.1071
chr11_84351222_84351619_MACS_peak_6021 0.8393 0.0179 0.1429
chr11_8443541_8443783_MACS_peak_4687 0.9286 0.0000 0.0714
chr11_8446229_8446475_MACS_peak_2466 1.0000 0.0000 0.0000
chr11_84642729_84642929_MACS_peak_6025 0.9464 0.0536 0.0000
chr11_84780576_84780776_MACS_peak_6027 0.9464 0.0536 0.0000
chr11_84794550_84794866_MACS_peak_6028 0.9107 0.0179 0.0714
chr11_84813797_84814007_MACS_peak_6029 0.8214 0.1071 0.0714
chr11_84814244_84814495_MACS_peak_6030 0.8393 0.0357 0.1250
chr11_84818743_84818955_MACS_peak_3301 0.8393 0.1250 0.0357
chr11_84819267_84819675_MACS_peak_6031 0.6250 0.1071 0.2679
chr11_84828548_84829351_MACS_peak_6032 0.5893 0.0179 0.3929
chr11_84828881_84829081_MACS_peak_3302 0.7321 0.1071 0.1607
chr11_84829165_84829382_MACS_peak_3303 0.7321 0.1250 0.1429
chr11_84879580_84880507_MACS_peak_3306 0.6071 0.0893 0.3036
chr11_84879717_84880538_MACS_peak_6035 0.6071 0.1250 0.2679
chr11_85177883_85178148_MACS_peak_6040 0.9464 0.0000 0.0536
chr11_85182976_85183349_MACS_peak_3309 0.9464 0.0357 0.0179
chr11_85214709_85214909_MACS_peak_6041 0.9821 0.0000 0.0179
chr11_85234438_85235347_MACS_peak_3310 0.6429 0.0714 0.2857
chr11_85234549_85235344_MACS_peak_6042 0.6429 0.1071 0.2500
chr11_85310910_85311586_MACS_peak_6044 0.5357 0.1964 0.2679
chr11_85310986_85311524_MACS_peak_3311 0.5536 0.1964 0.2500
chr11_85334793_85335103_MACS_peak_6046 0.8214 0.0357 0.1429
chr11_85352551_85353398_MACS_peak_3312 0.4107 0.2143 0.3750
chr11_85352553_85353360_MACS_peak_6047 0.4286 0.1964 0.3750
chr11_85545709_85545909_MACS_peak_6049 0.9464 0.0000 0.0536
chr11_8556793_8557357_MACS_peak_4688 0.7679 0.0357 0.1964
chr11_8557177_8557377_MACS_peak_2467 0.8214 0.0179 0.1607
chr11_8566551_8566833_MACS_peak_4689 0.8214 0.0357 0.1429
chr11_8575378_8575723_MACS_peak_2468 0.9821 0.0000 0.0179
chr11_85804153_85804353_MACS_peak_6051 0.9464 0.0000 0.0536
chr11_85844205_85844421_MACS_peak_6052 0.8036 0.0893 0.1071
chr11_85888388_85888588_MACS_peak_6053 0.9464 0.0536 0.0000
chr11_85925272_85925711_MACS_peak_6054 0.7857 0.0000 0.2143
chr11_86200800_86201433_MACS_peak_6055 0.4107 0.0536 0.5357
chr11_86200850_86201661_MACS_peak_3313 0.3750 0.0357 0.5893
chr11_8624394_8624621_MACS_peak_4691 0.9821 0.0000 0.0179
chr11_86257532_86257732_MACS_peak_3315 0.8571 0.0893 0.0536
chr11_86257570_86257833_MACS_peak_6058 0.8571 0.1071 0.0357
chr11_86358044_86358598_MACS_peak_6061 0.7321 0.0536 0.2143
chr11_86358071_86358580_MACS_peak_3316 0.7321 0.0536 0.2143
chr11_86371403_86371663_MACS_peak_3317 1.0000 0.0000 0.0000
chr11_86395907_86396156_MACS_peak_6062 0.8929 0.0000 0.1071
chr11_86513683_86513883_MACS_peak_6065 0.9821 0.0000 0.0179
chr11_86544113_86544436_MACS_peak_3320 0.9107 0.0714 0.0179
chr11_86544637_86545087_MACS_peak_6066 0.6964 0.0714 0.2321
chr11_86544657_86545061_MACS_peak_3321 0.6964 0.0714 0.2321
chr11_86566648_86566851_MACS_peak_6067 0.8750 0.1071 0.0179
chr11_86577330_86577625_MACS_peak_6069 0.7321 0.0714 0.1964
chr11_86586869_86587442_MACS_peak_6072 0.5179 0.1071 0.3750
chr11_8663530_8663821_MACS_peak_4693 0.8571 0.0536 0.0893
chr11_8663712_8663912_MACS_peak_2469 0.8036 0.1429 0.0536
chr11_8663899_8664314_MACS_peak_4694 0.7679 0.0536 0.1786
chr11_86652654_86653108_MACS_peak_6076 0.8393 0.0179 0.1429
chr11_86683585_86684159_MACS_peak_6077 0.6607 0.0357 0.3036
chr11_86683719_86684011_MACS_peak_3322 0.7143 0.0893 0.1964
chr11_86705031_86705355_MACS_peak_3323 1.0000 0.0000 0.0000
chr11_86719518_86719797_MACS_peak_6078 0.9286 0.0000 0.0714
chr11_86757278_86758184_MACS_peak_3324 0.5000 0.0357 0.4643
chr11_86757330_86758317_MACS_peak_6079 0.5000 0.0179 0.4821
chr11_86807032_86807750_MACS_peak_3325 0.9286 0.0179 0.0536
chr11_86836559_86836760_MACS_peak_6080 0.9107 0.0357 0.0536
chr11_86836594_86836794_MACS_peak_3326 0.9286 0.0179 0.0536
chr11_86993101_86994021_MACS_peak_3328 0.7500 0.1964 0.0536
chr11_8700893_8701140_MACS_peak_2470 0.9286 0.0357 0.0357
chr11_87010617_87010817_MACS_peak_6081 0.9464 0.0179 0.0357
chr11_8701954_8702154_MACS_peak_4696 0.8929 0.0714 0.0357
chr11_87045575_87045775_MACS_peak_6082 0.9464 0.0000 0.0536
chr11_87073897_87074298_MACS_peak_3329 0.9464 0.0000 0.0536
chr11_87086574_87086970_MACS_peak_6083 0.8214 0.0357 0.1429
chr11_8708796_8709089_MACS_peak_2471 1.0000 0.0000 0.0000
chr11_87108670_87109356_MACS_peak_6085 0.1607 0.2143 0.6250
chr11_87108674_87109356_MACS_peak_3330 0.1607 0.2143 0.6250
chr11_87245351_87245564_MACS_peak_3333 0.9821 0.0000 0.0179
chr11_87259822_87260146_MACS_peak_6090 0.8750 0.0357 0.0893
chr11_87276745_87276985_MACS_peak_3334 1.0000 0.0000 0.0000
chr11_87359180_87359385_MACS_peak_3337 1.0000 0.0000 0.0000
chr11_87448857_87449332_MACS_peak_3342 0.3929 0.0714 0.5357
chr11_87578335_87578689_MACS_peak_3345 0.9107 0.0357 0.0536
chr11_87579156_87579365_MACS_peak_6102 0.7857 0.1964 0.0179
chr11_87591674_87592473_MACS_peak_6103 0.3036 0.0536 0.6429
chr11_87591756_87592428_MACS_peak_3346 0.3036 0.0714 0.6250
chr11_87617090_87617290_MACS_peak_6104 0.9821 0.0000 0.0179
chr11_87630006_87630206_MACS_peak_6107 0.9643 0.0000 0.0357
chr11_87662451_87662798_MACS_peak_6109 0.8571 0.0000 0.1429
chr11_87662477_87662733_MACS_peak_3348 0.8571 0.0000 0.1429
chr11_87726104_87726549_MACS_peak_3350 0.8036 0.0714 0.1250
chr11_87726270_87726655_MACS_peak_6111 0.7857 0.1250 0.0893
chr11_87734603_87734827_MACS_peak_3351 0.9464 0.0357 0.0179
chr11_87737329_87737697_MACS_peak_3352 0.8393 0.0536 0.1071
chr11_87737334_87737589_MACS_peak_6113 0.8393 0.0536 0.1071
chr11_87743177_87743378_MACS_peak_6114 0.9286 0.0714 0.0000
chr11_87748796_87749073_MACS_peak_6115 0.7321 0.0893 0.1786
chr11_87749370_87749756_MACS_peak_3353 0.5357 0.0893 0.3750
